id,amount,create_time,user_id
0,1,2011-11-11 11:11:11,1
1,1,2011-11-11 11:11:11,2
2,1,2011-11-11 11:11:11,3
3,1,2011-11-11 11:11:11,4
4,1,2011-11-11 11:11:11,5
5,1,2011-11-11 11:11:11,6
6,1,2011-11-11 11:11:11,7
7,1,2011-11-11 11:11:11,8
8,1,2011-11-11 11:11:11,9
9,1,2011-11-11 11:11:11,10
10,1,2011-11-11 11:11:11,11
11,1,2011-11-11 11:11:11,12
12,1,2011-11-11 11:11:11,13
13,1,2011-11-11 11:11:11,14
14,1,2011-11-11 11:11:11,15
15,1,2011-11-11 11:11:11,16
16,1,2011-11-11 11:11:11,17
17,1,2011-11-11 11:11:11,18
18,1,2011-11-11 11:11:11,19
19,1,2011-11-11 11:11:11,20
20,1,2011-11-11 11:11:11,21
21,1,2011-11-11 11:11:11,22
22,1,2011-11-11 11:11:11,23
23,1,2011-11-11 11:11:11,24
24,1,2011-11-11 11:11:11,25
25,1,2011-11-11 11:11:11,26
26,1,2011-11-11 11:11:11,27
27,1,2011-11-11 11:11:11,28
28,1,2011-11-11 11:11:11,29
29,1,2011-11-11 11:11:11,30
30,1,2011-11-11 11:11:11,31
31,1,2011-11-11 11:11:11,32
32,1,2011-11-11 11:11:11,33
33,1,2011-11-11 11:11:11,34
34,1,2011-11-11 11:11:11,35
35,1,2011-11-11 11:11:11,36
36,1,2011-11-11 11:11:11,37
37,1,2011-11-11 11:11:11,38
38,1,2011-11-11 11:11:11,39
39,1,2011-11-11 11:11:11,40
40,1,2011-11-11 11:11:11,41
41,1,2011-11-11 11:11:11,42
42,1,2011-11-11 11:11:11,43
43,1,2011-11-11 11:11:11,44
44,1,2011-11-11 11:11:11,45
45,1,2011-11-11 11:11:11,46
46,1,2011-11-11 11:11:11,47
47,1,2011-11-11 11:11:11,48
48,1,2011-11-11 11:11:11,49
49,1,2011-11-11 11:11:11,50
50,1,2011-11-11 11:11:11,51
51,1,2011-11-11 11:11:11,11
52,1,2011-11-11 11:11:11,52
53,1,2011-11-11 11:11:11,53
54,1,2011-11-11 11:11:11,54
55,1,2011-11-11 11:11:11,55
56,1,2011-11-11 11:11:11,56
57,1,2011-11-11 11:11:11,57
58,1,2011-11-11 11:11:11,58
59,1,2011-11-11 11:11:11,59
60,1,2011-11-11 11:11:11,60
61,1,2011-11-11 11:11:11,61
62,1,2011-11-11 11:11:11,62
63,1,2011-11-11 11:11:11,63
64,1,2011-11-11 11:11:11,64
65,1,2011-11-11 11:11:11,65
66,1,2011-11-11 11:11:11,66
67,1,2011-11-11 11:11:11,67
68,1,2011-11-11 11:11:11,68
69,1,2011-11-11 11:11:11,69
70,1,2011-11-11 11:11:11,70
71,1,2011-11-11 11:11:11,71
72,1,2011-11-11 11:11:11,72
73,1,2011-11-11 11:11:11,73
74,1,2011-11-11 11:11:11,74
75,1,2011-11-11 11:11:11,75
76,1,2011-11-11 11:11:11,76
77,1,2011-11-11 11:11:11,77
78,1,2011-11-11 11:11:11,78
79,1,2011-11-11 11:11:11,79
80,1,2011-11-11 11:11:11,80
81,1,2011-11-11 11:11:11,81
82,1,2011-11-11 11:11:11,82
83,1,2011-11-11 11:11:11,83
84,1,2011-11-11 11:11:11,84
85,1,2011-11-11 11:11:11,85
86,1,2011-11-11 11:11:11,86
87,1,2011-11-11 11:11:11,87
88,1,2011-11-11 11:11:11,88
89,1,2011-11-11 11:11:11,89
90,1,2011-11-11 11:11:11,90
91,1,2011-11-11 11:11:11,91
92,1,2011-11-11 11:11:11,92
93,1,2011-11-11 11:11:11,93
94,1,2011-11-11 11:11:11,94
95,1,2011-11-11 11:11:11,95
96,1,2011-11-11 11:11:11,96
97,1,2011-11-11 11:11:11,97
98,1,2011-11-11 11:11:11,98
99,1,2011-11-11 11:11:11,99
100,1,2011-11-11 11:11:11,100
101,1,2011-11-11 11:11:11,101
102,1,2011-11-11 11:11:11,102
103,1,2011-11-11 11:11:11,103
104,1,2011-11-11 11:11:11,104
105,1,2011-11-11 11:11:11,105
106,1,2011-11-11 11:11:11,106
107,1,2011-11-11 11:11:11,107
108,1,2011-11-11 11:11:11,108
109,1,2011-11-11 11:11:11,109
110,1,2011-11-11 11:11:11,110
111,1,2011-11-11 11:11:11,111
112,1,2011-11-11 11:11:11,112
113,1,2011-11-11 11:11:11,113
114,1,2011-11-11 11:11:11,114
115,1,2011-11-11 11:11:11,115
116,1,2011-11-11 11:11:11,116
117,1,2011-11-11 11:11:11,117
118,1,2011-11-11 11:11:11,118
119,1,2011-11-11 11:11:11,119
120,1,2011-11-11 11:11:11,120
121,1,2011-11-11 11:11:11,121
122,1,2011-11-11 11:11:11,122
123,1,2011-11-11 11:11:11,123
124,1,2011-11-11 11:11:11,124
125,1,2011-11-11 11:11:11,125
126,1,2011-11-11 11:11:11,126
127,1,2011-11-11 11:11:11,127
128,1,2011-11-11 11:11:11,128
129,1,2011-11-11 11:11:11,129
130,1,2011-11-11 11:11:11,130
131,1,2011-11-11 11:11:11,131
132,1,2011-11-11 11:11:11,132
133,1,2011-11-11 11:11:11,133
134,1,2011-11-11 11:11:11,134
135,1,2011-11-11 11:11:11,135
136,1,2011-11-11 11:11:11,136
137,1,2011-11-11 11:11:11,137
138,1,2011-11-11 11:11:11,138
139,1,2011-11-11 11:11:11,139
140,1,2011-11-11 11:11:11,140
141,1,2011-11-11 11:11:11,141
142,1,2011-11-11 11:11:11,142
143,1,2011-11-11 11:11:11,143
144,1,2011-11-11 11:11:11,144
145,1,2011-11-11 11:11:11,145
146,1,2011-11-11 11:11:11,146
147,1,2011-11-11 11:11:11,147
148,1,2011-11-11 11:11:11,148
149,1,2011-11-11 11:11:11,149
150,1,2011-11-11 11:11:11,150
151,1,2011-11-11 11:11:11,151
152,1,2011-11-11 11:11:11,152
153,1,2011-11-11 11:11:11,153
